acct_id,tx_date,amount,type
aa5a6ce4,20140630,-1.0,pos_wd_cash
4063d198,20130807,5.0,sys_rev_of_dr
75257215,20140630,-1.0,pos_wd_cash
8ef278cb,20130812,5.0,sys_rev_of_dr
056a11e1,20140630,-1.0,pos_wd_cash
dcb8a878,20131119,-100.0,wd_atm_cash
dcb8a878,20131119,-1.0,wd_atm_cash
6c9204ca,20130813,5.0,sys_rev_of_dr
2de37cc6,20140630,-1.0,pos_wd_cash
895d14a5,20140630,-1.0,pos_wd_cash
a19ec8a8,20140630,-1.0,pos_wd_cash
33886f6b,20140630,-1.0,pos_wd_cash
91e1bf5e,20140630,-1.0,pos_wd_cash
2cfb36c7,20140630,-1.0,pos_wd_cash
ba714d12,20131119,40.0,dep_pos_cash
dcb8a878,20131119,-1.0,wd_atm_cash
a0b2e734,20140630,-1.0,pos_wd_cash
28598fdc,20140630,-1.0,pos_wd_cash
dc8b1bea,20140630,-1.0,pos_wd_cash
dc7d9e72,20140630,-1.0,pos_wd_cash
6e3d6410,20140630,-1.0,pos_wd_cash
3bc1d2a6,20140630,-1.0,pos_wd_cash
80c2bb28,20140630,-1.0,pos_wd_cash
868e145a,20140630,-1.0,pos_wd_cash
b4b8377d,20140505,50.0,dep_pos_cash
5e875c01,20140630,-1.0,pos_wd_cash
95a8d4a2,20140630,-1.0,pos_wd_cash
895a829b,20140630,-1.0,pos_wd_cash
335ba241,20140630,-1.0,pos_wd_cash
dcb8a878,20131119,15.0,dep_pos_cash
e1c71600,20140630,-1.0,pos_wd_cash
70a5adaa,20140630,-1.0,pos_wd_cash
3524c12d,20140630,-1.0,pos_wd_cash
04bd41c5,20140630,-1.0,pos_wd_cash
216302fb,20140505,-50.0,wd_atm_cash
fdbf58b7,20130813,5.0,sys_rev_of_dr
31a66314,20140630,-1.0,pos_wd_cash
b7c0fb5c,20140505,15.0,dep_pos_cash
ec59eef8,20140630,-1.0,pos_wd_cash
26ece35f,20140505,-0.1,wd_atm_cash
d3e9b9c3,20140505,50.0,dep_pos_cash
00419833,20140630,-1.0,pos_wd_cash
c9233b13,20140505,90.0,dep_pos_cash
e527061e,20140505,20.0,dep_pos_cash
a597ee3c,20140630,-1.0,pos_wd_cash
f9ee913a,20140630,-1.0,pos_wd_cash
7b6f2c76,20140630,-1.0,pos_wd_cash
24065d10,20140630,-1.0,pos_wd_cash
2ff7f3e6,20140630,-1.0,pos_wd_cash
4497ef90,20140630,-1.0,pos_wd_cash
2c89e7ff,20140630,-1.0,pos_wd_cash
2e2c2219,20140630,-1.0,pos_wd_cash
3bac45f7,20131104,5.0,sys_rev_of_dr
e714c080,20140630,-1.0,pos_wd_cash
00aad7f8,20150410,5.0,dep_pos_cash
708652dc,20140630,-1.0,pos_wd_cash
4a0ab834,20140630,-1.0,pos_wd_cash
f28869fa,20140630,-1.0,pos_wd_cash
00aad7f8,20140630,-1.0,pos_wd_cash
9f39334f,20140630,-1.0,pos_wd_cash
7e46fda7,20140630,-1.0,pos_wd_cash
d39d0eb8,20140630,-1.0,pos_wd_cash
c3d0bf6f,20140630,-1.0,pos_wd_cash
84f3a3f3,20140630,-1.0,pos_wd_cash
8d79b488,20140630,-1.0,pos_wd_cash
5c41fcd8,20140630,-1.0,pos_wd_cash
2a0a0cbc,20150410,-500.0,wd_atm_cash
551967d4,20140630,-1.0,pos_wd_cash
85d98db9,20140630,-1.0,pos_wd_cash
3c9b1f0d,20150410,500.0,dep_pos_cash
c49f1569,20140630,-1.0,pos_wd_cash
d9dfb883,20140630,-1.0,pos_wd_cash
b55c4d26,20140630,-1.0,pos_wd_cash
25e86ab6,20140630,-1.0,pos_wd_cash
2a875183,20140630,-1.0,pos_wd_cash
5475b60e,20140630,-1.0,pos_wd_cash
7f354d7f,20140630,-1.0,pos_wd_cash
93d3c2f2,20140606,-0.3,fee_pos_wd_cash
5572f66c,20140630,-1.0,pos_wd_cash
2601906a,20140606,100.0,dep_pos_cash
92ea0344,20140606,1000.0,dep_pos_cash
2b881e32,20140630,-1.0,pos_wd_cash
85a81d5b,20140630,-1.0,pos_wd_cash
70dcdf37,20140630,-1.0,pos_wd_cash
a1c54916,20131105,-0.05,fee_mob_bal_inq
0fbe00ae,20140630,-1.0,pos_wd_cash
94bd6438,20140630,-1.0,pos_wd_cash
d88b12c8,20140630,-1.0,pos_wd_cash
c888f1a2,20140630,-1.0,pos_wd_cash
bf5ca1ad,20140630,-1.0,pos_wd_cash
9f8f4226,20140630,-1.0,pos_wd_cash
0745cc70,20140606,-100.0,pos_wd_cash
0745cc70,20140606,-0.3,fee_pos_wd_cash
0954ed7e,20131119,5.0,sys_rev_of_dr
a8060207,20140630,-1.0,pos_wd_cash
0745cc70,20140630,-1.0,pos_wd_cash
