acct_id,bal_date,balance
d74bbf27,20131126,5.0
e3dd02ce,20131126,53.0
e3dd02ce,20131130,53.0218
bd7792a7,20130612,10.0
bd7792a7,20130612,10.8
126e069d,20140428,15.02278
3f7653c6,20130617,15.0
3f7653c6,20130617,14.8
bd7792a7,20130617,10.6
bd7792a7,20130617,9.6
bd7792a7,20130617,9.4
bd7792a7,20130617,9.2
bd7792a7,20130617,9.2
bd7792a7,20130617,9.0
f7e847d4,20131126,10.0
e3dd02ce,20131126,55.0
2736da93,20131130,15.01968
6ed2ce94,20140428,14.83832
6ed2ce94,20140428,15.13832
bd7792a7,20130617,8.8
43ecbfe4,20131130,75.01232
3bac45f7,20131130,85.051
bd6047ee,20131130,115.05822
df08fa55,20131130,60.01806
80c2bb28,20140109,5.0
ba714d12,20131130,10.00959
f7e847d4,20131130,19.95382
87032a32,20140109,10.0
8407886b,20140109,5.0
5d6525cf,20140109,55.0
94417357,20140109,25.0
66f29df9,20140109,5.0
033d97a6,20140109,255.0
c04b844a,20131130,10.91134
3f7653c6,20130617,15.0
bd7792a7,20130617,10.2
3f7653c6,20130617,20.0
6e1a6cce,20140109,457.2291
9a1e96fa,20140109,5.0
04178aa2,20140115,145.04126
de06f2ca,20140115,5.0
c0cb0ecf,20140115,5.0
289f42f6,20140115,5.0
87367958,20140115,5.0
6e1a6cce,20140115,57.2291
6e1a6cce,20140115,57.0291
38f16b07,20140109,5.0
f53e1f4c,20140115,5.0
37822625,20140115,5.0
6a15135d,20140115,5.0
b771f6d1,20140109,75.0
bd7792a7,20130620,9.8
bd7792a7,20130620,9.6
bd7792a7,20130620,9.2
bd7792a7,20130620,9.4
bd7792a7,20130620,10.8
5dac87ee,20140704,105.0489
2a0a0cbc,20140704,717.25228
136bf509,20131126,4.9
08fabaae,20140115,5.0
22f1e87d,20130629,15.01968
16ec6d57,20130629,3.0
3f7653c6,20130629,13.8
e19903a6,20140115,5.0
6a15135d,20140115,10.0
0bab7bee,20140704,5.0
0950b40e,20140115,5.0
8fce08a7,20140115,54.75
781d6aa7,20140428,24.0
30d2ede0,20140117,95.0
f567e644,20140704,505.0
bd7792a7,20130629,8.2
9a904598,20140630,32.0
938486ed,20131119,5.0
6b3f8d70,20140428,5.0
3efabbf5,20140630,5.0
26872019,20140630,55.0
b4771dbf,20130726,15.0
b4771dbf,20130726,5.0
b4771dbf,20130726,3.0
8ed1a21e,20130726,10.0
d51d85f7,20140428,5.0
8240dcfe,20140704,5.0
b771f6d1,20140630,230.86568
960429d4,20140704,5.0
ebb985b8,20140630,105.0
679499b2,20130726,5.0
80c2bb28,20140630,850.0
b4771dbf,20130726,5.0
81dfadc8,20130726,5.0
a87b7608,20140630,11.30466
c79bb135,20140630,110.25
fb178296,20140428,5.0
551967d4,20140630,302.0
551967d4,20140630,301.7
0745cc70,20140704,406.6
6c49d090,20140704,5.0
3344d6c7,20140630,5.0
dc1d5a39,20140630,514.0
46ff3646,20140428,15.0
6cbc746e,20140630,5.0
b771f6d1,20140428,170.77106
12d51c7d,20140428,464.70395
80c2bb28,20140630,450.0
0745cc70,20140704,406.3
5f902d01,20140428,155.4915
5f902d01,20140428,155.1915
ab5da03e,20140428,63.16694
c42b8503,20140630,10.82662
c42b8503,20140630,10.52662
b4b8377d,20140630,25.12204
b4b8377d,20140630,24.82204
21bc2b65,20140630,32.4
21bc2b65,20140630,32.1
ab668ff8,20140428,15.0
ab668ff8,20140428,14.7
7e513928,20140630,5.0
2aaa8bb8,20140630,101.35119
2aaa8bb8,20140630,101.05119
a760a107,20140630,201.7
335ba241,20131104,5.0
8af0122f,20140630,15.0
5dac87ee,20140630,95.0
e34195c9,20140428,5.0
2601906a,20140428,5.0
3113b85b,20140630,5.0
b7c0fb5c,20140630,24.51008
b7c0fb5c,20140630,24.21008
b771f6d1,20140630,10.86568
b771f6d1,20140630,10.56568
1b734a8b,20130809,5.0
b7c0fb5c,20140721,74.2953
1161282b,20140704,77.79629
a1c54916,20130809,205.0
92e55cdf,20130725,5.0
737a360d,20140708,705.118
a1c54916,20130809,5.0
cd262e70,20140704,33.42151
cd262e70,20140704,33.12151
a60f0ca4,20140428,5.0
5deaf070,20140428,5.0
245df7e5,20140428,45.0
d3a0f622,20140428,5.0
e281ed96,20130729,4.95
92ea0344,20140708,19.62468
bd7a25b8,20130729,5.0
